广东酒店,#genre#
CCTV1,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CGTN,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17农业,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
广东民生,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
经济科教,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
大湾区卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://14.212.185.27:9901/iptv/live/1000.json?key=txiptv//tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广州新闻,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
广州影视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
南方卫视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
广东公共,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
广东综合,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.66.5.101:4433/iptv/live/1000.json?key=txiptv//tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/faacts/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
珠江新闻,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
珠江公共,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
茂名综合,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲,http://183.0.186.131:9900/iptv/live/1000.json?key=txiptv//tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
