中国联通-吉林-酒店,#genre#
CCTV1,http://58.245.97.28:9901/tsfile/live/0001_1.m3u8
CCTV2,http://58.245.97.28:9901/tsfile/live/0002_1.m3u8
CCTV3,http://58.245.97.28:9901/tsfile/live/0003_1.m3u8
CCTV4,http://58.245.97.28:9901/tsfile/live/0004_1.m3u8
CCTV5,http://58.245.97.28:9901/tsfile/live/0005_1.m3u8
CCTV6,http://58.245.97.28:9901/tsfile/live/0006_1.m3u8
CCTV8,http://58.245.97.28:9901/tsfile/live/0008_1.m3u8
CCTV12,http://58.245.97.28:9901/tsfile/live/0012_1.m3u8
CCTV13,http://58.245.97.28:9901/tsfile/live/0013_1.m3u8
CCTV15,http://58.245.97.28:9901/tsfile/live/0015_1.m3u8
CCTV17,http://58.245.97.28:9901/tsfile/live/0019_1.m3u8
吉林卫视,http://58.245.97.28:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://58.245.97.28:9901/tsfile/live/0121_1.m3u8
黑龙江卫视,http://58.245.97.28:9901/tsfile/live/0143_1.m3u8
江苏卫视,http://58.245.97.28:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://58.245.97.28:9901/tsfile/live/0124_1.m3u8
河北卫视,http://58.245.97.28:9901/tsfile/live/0117_1.m3u8
天津卫视,http://58.245.97.28:9901/tsfile/live/0135_1.m3u8
上海卫视,http://58.245.97.28:9901/tsfile/live/0107_1.m3u8
安徽卫视,http://58.245.97.28:9901/tsfile/live/0130_1.m3u8
东南卫视,http://58.245.97.28:9901/tsfile/live/0137_1.m3u8
江西卫视,http://58.245.97.28:9901/tsfile/live/0138_1.m3u8
山东卫视,http://58.245.97.28:9901/tsfile/live/0131_1.m3u8
河南卫视,http://58.245.97.28:9901/tsfile/live/0139_1.m3u8
湖北卫视,http://58.245.97.28:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://58.245.97.28:9901/tsfile/live/0128_1.m3u8
广东卫视,http://58.245.97.28:9901/tsfile/live/0125_1.m3u8
重庆卫视,http://58.245.97.28:9901/tsfile/live/0142_1.m3u8
贵州卫视,http://58.245.97.28:9901/tsfile/live/0120_1.m3u8
四川卫视,http://58.245.97.28:9901/tsfile/live/0123_1.m3u8
吉视都市,http://58.245.97.28:9901/tsfile/live/1001_1.m3u8
吉视影视,http://58.245.97.28:9901/tsfile/live/1000_1.m3u8
吉视生活,http://58.245.97.28:9901/tsfile/live/1002_1.m3u8
长影,http://58.245.97.28:9901/tsfile/live/1006_1.m3u8
